Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Owner_Type,Kilometers_Driven,Engine_CC,Mileage_Kmpl,Seats,Location,Insurance_Valid,Price_INR
85,Maruti,WagonR,2013,Petrol,Automatic,First,220591,1498,13.7,4,Ahmedabad,Yes,592460
86,Toyota,Glanza,2012,Diesel,Automatic,Second,84217,1997,13.9,4,Delhi,No,737717
87,Hyundai,i20,2017,CNG,Manual,First,102258,1997,21.4,7,Bengaluru,No,983613
88,Hyundai,Venue,2023,CNG,Automatic,First,102132,1248,19.1,4,Pune,Yes,1171947
89,Toyota,Fortuner,2011,Petrol,Manual,Third,227306,2184,13.5,4,Hyderabad,Yes,427570
90,Toyota,Glanza,2014,Diesel,Manual,First,205581,1248,21.4,4,Pune,Yes,619295
91,Maruti,WagonR,2014,Electric,Automatic,Second,33816,796,14.1,5,Chandigarh,No,619076
92,Tata,Altroz,2011,Petrol,Automatic,First,200471,998,19.6,5,Lucknow,Yes,422684
93,Mahindra,Thar,2011,Diesel,Automatic,First,13165,796,28.0,5,Jaipur,Yes,633243
94,Renault,Kwid,2012,Petrol,Manual,First,77093,1498,18.1,7,Lucknow,No,676186
95,Kia,Seltos,2013,CNG,Manual,First,237807,1248,18.6,5,Jaipur,No,570654
96,Hyundai,Verna,2023,Petrol,Automatic,First,45013,2184,13.1,4,Mumbai,No,1198377
97,Toyota,Glanza,2011,Diesel,Automatic,First,112691,1498,26.0,5,Delhi,No,626923
98,Honda,Jazz,2013,Diesel,Manual,First,131403,1248,25.6,5,Lucknow,No,537192
99,Honda,Amaze,2023,Diesel,Manual,First,177446,1497,12.5,5,Ludhiana,No,1023722
100,Maruti,Baleno,2014,Diesel,Automatic,First,199240,796,13.5,7,Chandigarh,No,526488
101,Renault,Kiger,2015,Petrol,Automatic,Second,153791,998,26.1,4,Bengaluru,Yes,716886
102,Hyundai,Verna,2024,Diesel,Automatic,First,113575,1497,15.4,7,Mumbai,No,1166049
103,Hyundai,Verna,2025,Petrol,Automatic,First,108615,796,12.1,5,Chandigarh,Yes,1087164
104,Honda,Jazz,2013,Petrol,Automatic,First,104669,1248,20.0,7,Pune,Yes,643246
105,Maruti,Dzire,2010,Petrol,Manual,Second,155931,1997,21.2,7,Jaipur,No,462714
106,Kia,Seltos,2020,Petrol,Automatic,Second,246112,1498,13.4,4,Chandigarh,No,868794
107,Kia,Carens,2012,Petrol,Automatic,Second,63083,1498,24.5,4,Lucknow,Yes,713154
108,Mahindra,Scorpio,2021,Diesel,Manual,First,43389,1497,15.2,7,Bengaluru,Yes,1049010
109,Renault,Kiger,2024,Diesel,Automatic,Second,169421,1498,14.4,4,Ahmedabad,No,1151967
110,Honda,Jazz,2011,Petrol,Manual,First,123466,796,12.9,5,Mumbai,Yes,533580
111,Kia,Sonet,2011,Petrol,Manual,First,129683,1197,27.3,5,Mumbai,No,600273
112,Hyundai,Grand i10,2015,Petrol,Automatic,Third,142381,1197,17.8,5,Jaipur,No,666482
113,Maruti,WagonR,2012,Petrol,Automatic,First,194722,1197,17.3,7,Bengaluru,No,461298
114,Kia,Seltos,2012,Petrol,Automatic,First,91108,1197,22.7,7,Lucknow,Yes,673661
115,Kia,Carens,2021,Petrol,Automatic,First,61149,1498,27.2,5,Chandigarh,Yes,1017442
116,Tata,Nexon,2019,Diesel,Manual,First,146497,796,22.6,7,Bengaluru,No,745159
117,Tata,Punch,2015,Diesel,Manual,First,182304,1248,27.5,7,Ludhiana,No,597337
118,Mahindra,Scorpio,2025,CNG,Manual,First,154532,2184,19.4,5,Jaipur,No,1174123
119,Mahindra,Thar,2014,CNG,Manual,First,234144,1498,20.9,4,Lucknow,Yes,533514
120,Hyundai,Creta,2018,Petrol,Manual,Second,29042,1248,25.1,5,Delhi,No,868869
121,Kia,Carens,2021,Petrol,Manual,First,12389,1498,26.9,7,Pune,Yes,1075963
122,Maruti,WagonR,2025,Diesel,Manual,Second,127974,2184,21.8,4,Delhi,No,1220043
123,Tata,Tiago,2023,Petrol,Automatic,First,36941,796,15.8,7,Hyderabad,No,1032654
124,Hyundai,Venue,2010,Diesel,Manual,Second,81355,1997,12.0,5,Chandigarh,No,571117
125,Hyundai,Grand i10,2021,Petrol,Manual,First,128243,796,22.2,5,Ludhiana,Yes,910238
126,Hyundai,Verna,2017,Diesel,Manual,Second,197724,1498,14.1,5,Lucknow,No,805996
127,Tata,Harrier,2025,Diesel,Manual,First,208473,2184,12.6,4,Delhi,Yes,1077897
128,Toyota,Fortuner,2022,Electric,Automatic,First,202470,1248,16.6,4,Pune,No,859426
129,Toyota,Urban Cruiser,2022,Diesel,Automatic,First,53973,2184,23.1,5,Lucknow,No,1138968
130,Kia,Seltos,2023,Diesel,Manual,First,89203,998,13.3,7,Ludhiana,No,1094610
131,Kia,Seltos,2024,Petrol,Manual,Second,243972,1498,21.8,5,Ludhiana,Yes,916664
132,Kia,Sonet,2015,Electric,Manual,Second,182756,2184,12.6,4,Chandigarh,No,742707
133,Kia,Carens,2011,Diesel,Automatic,Second,102521,2184,24.2,7,Bengaluru,No,668396
134,Toyota,Fortuner,2017,Electric,Manual,Second,135821,1997,26.6,4,Ludhiana,No,956213
135,Renault,Kwid,2019,Diesel,Automatic,First,40580,998,19.2,7,Ahmedabad,Yes,1034827
136,Toyota,Fortuner,2012,Petrol,Automatic,Second,228179,1197,23.4,7,Bengaluru,No,473192
137,Mahindra,XUV300,2016,Diesel,Manual,Second,11890,1498,20.9,5,Ahmedabad,Yes,975910
138,Hyundai,i20,2019,Petrol,Automatic,First,206631,1997,25.2,4,Bengaluru,No,945067
139,Hyundai,Venue,2024,Diesel,Automatic,First,222331,1197,24.3,4,Jaipur,Yes,919390
140,Tata,Altroz,2015,Petrol,Manual,First,141025,1497,25.5,5,Chandigarh,No,648222
141,Honda,City,2015,Diesel,Manual,First,168703,1498,25.5,7,Delhi,Yes,603608
142,Maruti,Brezza,2018,Diesel,Automatic,First,12939,2184,26.2,7,Ludhiana,No,1113154
143,Mahindra,Bolero,2019,Petrol,Manual,First,113952,2184,19.4,5,Hyderabad,Yes,992278
144,Toyota,Fortuner,2022,Petrol,Automatic,First,32835,1498,15.9,4,Ludhiana,No,1125348
145,Tata,Nexon,2011,Petrol,Automatic,Second,114611,1248,27.4,4,Pune,No,486989
146,Tata,Harrier,2024,Petrol,Automatic,First,28605,1997,20.1,4,Chandigarh,No,1228069
147,Maruti,WagonR,2025,Diesel,Automatic,First,7143,998,18.9,5,Pune,No,1262116
148,Maruti,Dzire,2011,Diesel,Manual,First,80655,998,18.2,5,Lucknow,No,611353
149,Hyundai,Creta,2013,Petrol,Automatic,First,100841,1197,15.2,7,Jaipur,Yes,549506
150,Maruti,Baleno,2020,Diesel,Automatic,First,239129,1197,17.2,7,Pune,Yes,789695
151,Honda,Jazz,2025,Diesel,Automatic,First,9361,1498,17.3,4,Jaipur,No,1413665
152,Maruti,Brezza,2025,Petrol,Manual,Second,157967,2184,14.7,7,Hyderabad,No,1166257
153,Mahindra,XUV300,2013,Petrol,Automatic,First,44696,1997,23.0,5,Lucknow,No,893899
154,Maruti,Baleno,2016,Diesel,Automatic,First,87248,1197,19.4,7,Pune,No,866116
155,Honda,WR-V,2016,Electric,Automatic,First,63947,1497,24.3,7,Chandigarh,No,836013
156,Renault,Kiger,2018,Petrol,Automatic,Second,108424,1498,27.3,4,Ludhiana,Yes,865051
157,Hyundai,Verna,2024,Diesel,Automatic,First,222042,1497,26.9,7,Ludhiana,Yes,951822
158,Mahindra,XUV700,2011,Diesel,Manual,First,18760,998,18.6,7,Ahmedabad,Yes,700818
159,Tata,Nexon,2015,Petrol,Automatic,First,57286,1497,17.1,7,Delhi,Yes,886892
160,Mahindra,Thar,2011,CNG,Manual,First,224573,1197,26.9,4,Jaipur,No,347992
161,Honda,City,2010,Petrol,Manual,Second,92829,1497,19.3,7,Lucknow,No,483424
162,Renault,Kiger,2016,Diesel,Automatic,First,125301,1497,23.5,4,Pune,No,828118
163,Mahindra,XUV700,2022,Diesel,Automatic,First,180441,998,15.0,4,Ahmedabad,No,888254
164,Maruti,WagonR,2022,Petrol,Automatic,Third,84153,796,16.2,5,Chandigarh,Yes,1089592
165,Hyundai,Venue,2019,Petrol,Automatic,First,172434,1497,17.9,4,Chandigarh,Yes,883071
166,Tata,Harrier,2021,Petrol,Automatic,Second,215238,1248,24.2,7,Hyderabad,Yes,904232
167,Renault,Triber,2021,Petrol,Manual,First,148562,1248,21.2,4,Bengaluru,No,982889
168,Renault,Kwid,2016,Diesel,Automatic,First,138791,2184,24.9,5,Bengaluru,No,865276
169,Maruti,Brezza,2024,Diesel,Automatic,Second,108795,1497,25.1,7,Chandigarh,Yes,1070958
170,Kia,Sonet,2012,Petrol,Manual,Second,23092,2184,12.5,5,Bengaluru,Yes,872540
171,Kia,Sonet,2022,Petrol,Automatic,First,183973,1197,22.5,5,Mumbai,Yes,983711
172,Kia,Carens,2014,Diesel,Manual,Second,203227,796,27.7,5,Lucknow,No,551090
173,Kia,Seltos,2017,Petrol,Manual,First,234430,998,12.5,7,Jaipur,Yes,596533
174,Mahindra,XUV300,2013,Diesel,Automatic,First,189362,796,15.9,4,Jaipur,No,444715
175,Mahindra,XUV300,2014,Petrol,Automatic,First,245227,1498,21.2,7,Pune,Yes,524592
176,Tata,Tiago,2017,Petrol,Automatic,First,160101,1197,22.0,5,Lucknow,No,658808
177,Toyota,Urban Cruiser,2020,Diesel,Automatic,First,103686,1197,24.1,5,Chandigarh,Yes,928052
178,Tata,Harrier,2011,Diesel,Automatic,First,40151,1997,15.9,4,Pune,Yes,734366
179,Toyota,Innova,2016,Petrol,Automatic,First,163052,796,26.0,4,Hyderabad,Yes,675527
180,Mahindra,Scorpio,2019,Electric,Manual,First,54813,998,24.0,5,Chandigarh,Yes,942958
181,Mahindra,Thar,2020,Diesel,Automatic,First,175058,1498,16.9,5,Lucknow,No,921850
182,Hyundai,Venue,2020,CNG,Automatic,First,16984,1248,23.9,4,Ludhiana,No,1036761
183,Tata,Punch,2020,Petrol,Manual,First,176601,1498,16.1,5,Ahmedabad,No,841939
184,Toyota,Glanza,2014,Diesel,Automatic,First,238141,796,20.4,4,Delhi,Yes,477856
185,Tata,Punch,2012,Diesel,Manual,First,124540,1498,13.0,7,Hyderabad,No,673139
186,Renault,Kwid,2010,Petrol,Automatic,First,143783,1497,20.6,5,Delhi,No,434093
187,Hyundai,i20,2014,Petrol,Automatic,Second,75077,1997,13.3,5,Ahmedabad,Yes,892323
188,Mahindra,Scorpio,2012,Diesel,Manual,First,104421,1997,20.8,4,Delhi,Yes,606009
189,Renault,Kiger,2020,Diesel,Manual,Second,245950,796,15.7,7,Hyderabad,No,701445
190,Maruti,Swift,2018,CNG,Manual,First,227934,1498,12.3,4,Hyderabad,Yes,843437
191,Kia,Seltos,2019,Petrol,Manual,First,227676,1997,22.8,7,Pune,No,949506
192,Tata,Nexon,2021,Petrol,Automatic,First,24927,1498,21.7,7,Hyderabad,No,1110404
193,Maruti,WagonR,2024,Petrol,Automatic,First,103415,1997,15.0,7,Jaipur,Yes,1287708
194,Honda,Amaze,2012,Petrol,Manual,First,210492,1197,23.8,5,Pune,Yes,385040
195,Maruti,WagonR,2024,Petrol,Automatic,First,27884,1197,18.9,7,Lucknow,No,1147256
196,Maruti,Swift,2021,Diesel,Automatic,Second,8235,1497,18.6,4,Lucknow,Yes,1194693
197,Tata,Harrier,2015,Petrol,Automatic,First,43255,998,14.7,5,Jaipur,No,799792
198,Hyundai,Verna,2018,CNG,Automatic,First,56261,2184,13.7,5,Delhi,No,1021654
199,Kia,Sonet,2024,Petrol,Manual,First,163128,1248,19.7,4,Jaipur,No,1040407
200,Renault,Triber,2017,Petrol,Automatic,Second,108005,1498,13.8,7,Chandigarh,Yes,923860
201,Maruti,Dzire,2016,Petrol,Automatic,Second,23129,1997,22.8,4,Ludhiana,Yes,928123
202,Tata,Harrier,2022,Petrol,Automatic,First,145081,1997,20.7,5,Lucknow,Yes,1014212
203,Mahindra,Scorpio,2015,Diesel,Manual,First,174091,1997,27.5,5,Jaipur,Yes,638495
204,Hyundai,Verna,2017,Petrol,Manual,First,107533,2184,24.4,7,Lucknow,Yes,918471
205,Maruti,Dzire,2013,Petrol,Manual,First,196404,1197,17.6,5,Ahmedabad,Yes,559562
206,Renault,Kiger,2025,Petrol,Automatic,First,83712,796,25.0,4,Delhi,No,1219926
207,Hyundai,Creta,2017,Petrol,Manual,First,116770,2184,15.7,5,Bengaluru,Yes,984853
208,Kia,Sonet,2010,Diesel,Manual,First,117604,1997,12.1,4,Chandigarh,No,675732
209,Hyundai,Grand i10,2013,Diesel,Manual,First,56661,2184,13.8,7,Ahmedabad,No,865578
210,Kia,Carens,2022,Diesel,Automatic,First,125025,1197,25.0,7,Ludhiana,Yes,1089799
211,Tata,Altroz,2013,Petrol,Manual,First,186780,1197,20.2,5,Hyderabad,Yes,585185
212,Kia,Sonet,2015,Petrol,Manual,First,133356,1497,14.2,5,Ahmedabad,Yes,718731
213,Maruti,Dzire,2014,Petrol,Automatic,Third,137497,2184,18.5,5,Jaipur,No,785192
214,Tata,Nexon,2010,Diesel,Manual,First,77051,1248,20.6,4,Ahmedabad,No,581405
215,Hyundai,Grand i10,2013,Petrol,Automatic,First,203386,796,24.2,5,Lucknow,Yes,477907
216,Hyundai,Creta,2019,CNG,Manual,First,96377,998,19.0,4,Chandigarh,Yes,982467
217,Toyota,Urban Cruiser,2015,Diesel,Manual,Second,216141,796,21.1,7,Ludhiana,Yes,525993
218,Honda,Jazz,2018,Electric,Manual,First,201632,1997,26.7,5,Bengaluru,Yes,803132
219,Tata,Altroz,2017,Diesel,Automatic,First,156368,1497,22.0,5,Ahmedabad,Yes,853099
220,Hyundai,Venue,2018,Diesel,Automatic,First,132937,1498,21.3,7,Mumbai,No,926654
221,Toyota,Innova,2022,Petrol,Automatic,Second,134686,1497,17.2,5,Pune,Yes,1086426
222,Renault,Kiger,2011,Petrol,Automatic,First,248645,1197,19.1,4,Jaipur,Yes,450776
223,Tata,Altroz,2015,CNG,Automatic,First,99485,1497,13.3,7,Bengaluru,Yes,769156
224,Honda,Amaze,2023,Diesel,Manual,First,129992,998,14.1,4,Lucknow,No,931203
225,Maruti,WagonR,2013,Electric,Automatic,First,130226,998,15.7,4,Mumbai,Yes,560631
226,Toyota,Fortuner,2014,Petrol,Manual,First,182507,1197,13.1,7,Delhi,Yes,600000
227,Toyota,Glanza,2014,CNG,Automatic,Second,27724,998,14.2,4,Hyderabad,No,738643
228,Kia,Sonet,2014,Petrol,Manual,First,162548,1497,24.5,7,Delhi,No,598438
229,Mahindra,Bolero,2019,Diesel,Manual,First,34555,1248,20.0,7,Mumbai,Yes,987953
230,Toyota,Glanza,2022,CNG,Automatic,First,184029,1197,24.2,4,Delhi,Yes,846420
231,Honda,Amaze,2011,CNG,Automatic,First,169776,1997,18.8,5,Mumbai,Yes,533644
232,Hyundai,Verna,2012,Petrol,Manual,Third,45731,1498,18.3,7,Mumbai,No,778035
233,Kia,Carens,2017,Petrol,Manual,Second,35405,2184,21.8,4,Ludhiana,Yes,945905
234,Maruti,Baleno,2010,Petrol,Automatic,First,210255,1497,14.7,4,Ludhiana,Yes,315029
235,Toyota,Urban Cruiser,2018,Petrol,Automatic,Second,156165,998,19.9,7,Pune,Yes,803331
236,Tata,Altroz,2015,Petrol,Manual,Second,181716,998,15.7,7,Delhi,Yes,509921
237,Mahindra,XUV300,2025,Petrol,Manual,First,229784,796,20.8,7,Jaipur,Yes,959137
238,Mahindra,Bolero,2020,Petrol,Manual,First,36300,796,14.9,7,Delhi,No,900028
239,Renault,Kiger,2019,Petrol,Automatic,First,57604,1497,21.0,5,Hyderabad,Yes,1017130
240,Toyota,Urban Cruiser,2016,Diesel,Manual,First,249422,1997,12.4,7,Pune,Yes,678155
241,Maruti,Dzire,2019,Petrol,Manual,First,20701,1197,23.4,4,Delhi,Yes,1040049
242,Kia,Carens,2021,Petrol,Manual,First,137494,1197,22.2,5,Mumbai,Yes,967675
243,Tata,Punch,2019,Petrol,Automatic,Second,108010,1498,17.1,5,Chandigarh,Yes,888287
244,Tata,Tiago,2013,Petrol,Manual,First,87321,1997,13.9,5,Chandigarh,No,730675
245,Renault,Kiger,2013,Petrol,Automatic,Second,187682,796,15.4,5,Bengaluru,Yes,571726
246,Mahindra,Scorpio,2022,Petrol,Automatic,First,50578,796,27.2,5,Lucknow,Yes,979657
247,Renault,Kwid,2014,Petrol,Manual,Second,63271,1197,15.2,5,Pune,Yes,780366
248,Honda,City,2010,Electric,Manual,Second,121242,1197,13.5,5,Mumbai,Yes,498996
249,Maruti,Baleno,2023,Diesel,Automatic,First,105330,1997,14.8,4,Bengaluru,No,1151606
250,Renault,Kwid,2011,Diesel,Manual,First,135781,1997,26.1,5,Delhi,Yes,575043
251,Kia,Seltos,2023,Petrol,Manual,First,215283,796,27.8,7,Pune,No,944922
252,Renault,Kiger,2020,Petrol,Manual,First,161530,1248,12.5,5,Delhi,No,924711
253,Toyota,Glanza,2015,Petrol,Manual,First,218984,796,24.2,4,Hyderabad,No,530748
254,Tata,Punch,2017,Diesel,Automatic,Second,12394,1498,27.2,7,Bengaluru,Yes,988921
255,Honda,Amaze,2025,Petrol,Manual,First,62359,796,20.4,4,Pune,Yes,1109896
256,Toyota,Glanza,2020,Petrol,Manual,First,245444,1197,24.4,7,Pune,Yes,777041
257,Kia,Carens,2013,Petrol,Automatic,First,46288,1997,24.7,5,Pune,Yes,884477
258,Toyota,Glanza,2015,Petrol,Automatic,First,196058,796,27.2,7,Jaipur,Yes,512981
259,Toyota,Glanza,2013,CNG,Manual,First,25396,1248,17.5,5,Bengaluru,Yes,820135
260,Toyota,Urban Cruiser,2010,Petrol,Manual,First,96876,1497,24.6,7,Delhi,Yes,544559
261,Renault,Triber,2023,Electric,Automatic,First,104277,1498,20.7,4,Ahmedabad,Yes,1062266
262,Renault,Kwid,2011,Petrol,Automatic,First,32453,998,17.5,5,Bengaluru,Yes,649220
263,Hyundai,Verna,2025,Diesel,Automatic,Second,48253,1997,14.5,4,Pune,Yes,1286539
264,Kia,Carens,2018,Diesel,Automatic,First,18011,1997,21.1,5,Bengaluru,Yes,1052615
265,Maruti,Dzire,2012,Petrol,Automatic,First,11746,1248,14.7,5,Mumbai,No,635943
266,Honda,WR-V,2025,Petrol,Automatic,First,147639,1997,15.0,5,Pune,Yes,1234330
267,Maruti,WagonR,2024,Petrol,Manual,Second,152913,796,14.4,7,Mumbai,Yes,1097173
268,Toyota,Urban Cruiser,2017,Diesel,Automatic,Second,114741,2184,21.2,4,Ahmedabad,No,840087
269,Kia,Carens,2011,Petrol,Manual,First,203492,2184,14.8,4,Chandigarh,Yes,475967
270,Maruti,Dzire,2012,Electric,Automatic,First,220630,1197,25.3,5,Pune,Yes,371697
271,Kia,Carens,2022,Diesel,Automatic,First,245428,796,24.6,7,Hyderabad,No,750502
272,Kia,Seltos,2014,Diesel,Manual,Second,152504,998,24.6,7,Pune,No,565996
273,Kia,Carens,2025,Diesel,Automatic,First,77198,1997,14.3,7,Jaipur,Yes,1305756
